host_name                                         ,name                ,LAST_FULL_BACKUP_DATE         ,LAST_INCREMENTAL_BACKUP_DATE
canvasproddb01.cc.columbia.edu                    ,CANVAS1P            ,2018-09-23 00:47:04           ,2018-06-24 01:52:36
canvasrptdb01.cc.columbia.edu                     ,CANVAS1R            ,2018-09-23 00:02:46           ,2018-09-26 00:01:09
canvastestdb01.cc.columbia.edu                    ,CANVAS1T            ,2018-09-23 01:02:48           ,2018-09-26 01:01:11
cwmsdevdb-ci.cc.columbia.edu                      ,CF101D              ,2018-09-23 16:31:12           ,2018-09-25 16:30:17
cwmsdevdb-ci.cc.columbia.edu                      ,CWAR1D              ,2018-09-23 15:10:06           ,2018-09-25 15:00:28
cwmsdevdb-ci.cc.columbia.edu                      ,CWMS1D              ,2018-09-23 15:53:17           ,2018-09-25 15:30:32
cwmsdevdb-ci.cc.columbia.edu                      ,FCBK1D              ,2018-09-23 16:01:36           ,2018-09-25 16:00:23
cwmsdevdb-ci.cc.columbia.edu                      ,SESS1D              ,2018-09-23 16:31:18           ,2018-09-25 16:30:19
cwmsproddb-ci.cc.columbia.edu                     ,CF101P              ,2018-09-23 23:01:47           ,2018-09-25 23:00:32
cwmsproddb-ci.cc.columbia.edu                     ,CWAR1P              ,2018-09-23 01:21:14           ,2018-09-26 01:00:26
cwmsproddb-ci.cc.columbia.edu                     ,FCBK1P              ,2018-09-23 01:19:25           ,2018-09-26 01:15:25
cwmsproddb-ci.cc.columbia.edu                     ,SESS1P              ,2018-09-23 01:59:25           ,2018-09-26 01:30:30
ecrtdevdb01.cc.columbia.edu                       ,ECRTD               ,2018-09-24 15:08:46           ,2018-09-26 01:30:37
ecrtlegdb01.cc.columbia.edu                       ,ECRTL               ,2018-09-23 00:36:11           ,2018-09-26 00:31:18
ecrtproddb01.cc.columbia.edu                      ,ECRT                ,2018-09-25 00:06:23           ,2018-09-23 10:38:39
ecrtqadb01.cc.columbia.edu                        ,ECRTQ               ,2018-09-23 01:23:28           ,2018-09-26 01:10:39
ecrtrptdb01.cc.columbia.edu                       ,ECRPT               ,2018-09-23 01:32:57           ,2018-09-26 01:10:48
ecrttraindb01.cc.columbia.edu                     ,ECRTR               ,2018-09-23 01:18:43           ,2018-09-26 01:16:05
fdmdevdb02.cc.columbia.edu                        ,FDMDEV              ,2018-09-23 07:11:24           ,
fdmprddb02.cc.columbia.edu                        ,FDMPRD              ,2018-09-23 10:25:42           ,2018-09-25 18:05:09
fdmpredb01.cc.columbia.edu                        ,FDMPRE              ,2018-09-24 10:03:34           ,2018-09-21 18:03:49
fdmqnadb01.cc.columbia.edu                        ,FDMQNA              ,2018-09-23 07:09:58           ,
fdmtstdb01.cc.columbia.edu                        ,FDMTST              ,2018-09-24 08:05:46           ,2018-09-26 08:06:00
fdsproddb01.cc.columbia.edu                       ,FDSPRD              ,2018-09-23 18:57:39           ,2018-09-25 03:27:23
grouperdevdb01.cc.columbia.edu                    ,GRP1D               ,2018-09-23 21:31:02           ,2018-09-25 21:16:08
grouperproddb01.cc.columbia.edu                   ,GRP1P               ,2018-09-23 17:35:52           ,2018-09-25 16:24:49
grouperqatdb01.cc.columbia.edu                    ,GRP1Q               ,2018-09-23 23:40:53           ,2018-09-25 16:23:38
hrdevdb.cc.columbia.edu                           ,HR92STG             ,2018-08-11 19:21:13           ,2018-08-09 19:16:08
idmsysdevdb01.cc.columbia.edu                     ,IDMDEV1             ,2018-09-24 21:03:22           ,
idmsysproddb01.cc.columbia.edu                    ,IDMPROD1            ,2018-09-25 22:01:21           ,
infoeddevdb01.cc.columbia.edu                     ,INFOED1D            ,2018-09-07 03:36:38           ,2018-09-11 23:59:58
infoeddevdb01.cc.columbia.edu                     ,INFOED1D            ,2018-09-07 03:36:38           ,2018-09-26 00:03:26
infoeddevdb01.cc.columbia.edu                     ,INFOED1D            ,2018-09-21 02:21:00           ,2018-09-11 23:59:58
infoeddevdb01.cc.columbia.edu                     ,INFOED1D            ,2018-09-21 02:21:00           ,2018-09-26 00:03:26
infoedproddb01.cc.columbia.edu                    ,INFOED1P            ,2018-09-21 06:35:43           ,2018-09-26 05:33:53
infoedtraindb01.cc.columbia.edu                   ,INFOED1T            ,2018-09-19 20:53:50           ,2018-09-25 20:28:21
mscampusproddb01.cc.columbia.edu                  ,MISC1P              ,2018-09-23 20:21:17           ,2018-09-25 20:20:37
netmonproddb01.cc.columbia.edu                    ,SECNET1P            ,2018-09-26 00:19:29           ,
oem12cproddb01.cc.columbia.edu                    ,EMREP1P             ,2018-09-25 21:53:42           ,
paccfgdb01.cc.columbia.edu                        ,HR92CFG             ,2018-09-20 01:59:07           ,2018-09-25 22:33:02
pacdev2db01.cc.columbia.edu                       ,HR92DEV2            ,2018-09-21 01:47:38           ,2018-09-26 02:36:52
pacdevdb01.cc.columbia.edu                        ,HR92DEV             ,2018-09-20 23:18:01           ,2018-09-25 22:33:58
pacdmodb01.cc.columbia.edu                        ,HR92DMO             ,2018-09-22 19:01:39           ,2018-09-25 19:00:39
pacprddb01.cc.columbia.edu                        ,HR92PRD             ,2018-09-25 21:54:27           ,2018-09-26 05:19:00
pacprfdb01.cc.columbia.edu                        ,HR92PRF             ,2018-09-25 08:33:01           ,2018-09-25 08:15:40
pacprfrdb01.cc.columbia.edu                       ,HR92PRFR            ,2018-09-23 07:14:06           ,2018-09-25 17:02:30
pacptfdb01.cc.columbia.edu                        ,HR92PTF             ,2018-09-20 03:05:41           ,2018-09-25 03:02:58
pacqna2db01.cc.columbia.edu                       ,HR92QNA2            ,2018-09-20 19:18:11           ,2018-09-24 19:02:10
pacqnadb01.cc.columbia.edu                        ,HR92QNA             ,2018-09-25 20:32:46           ,2018-09-25 20:40:17
pacsecdb01.cc.columbia.edu                        ,HR92SEC             ,2018-09-21 20:02:06           ,2018-09-24 19:31:22
pacsnddb01.cc.columbia.edu                        ,HR92SND             ,2018-09-22 19:41:45           ,2018-09-25 19:34:27
pactrddb01.cc.columbia.edu                        ,HR92TRD             ,2018-09-21 19:54:42           ,2018-09-24 19:30:44
